,test_subject,window_size,cnn_kernel_size,cnn_layers,cnn_activation,cnn_output_size,dense_activation,dense_layers,optim_loss,optim_lr,optim_optimizer,training_epochs,training_batch_size,left_validation_rmse,right_validation_rmse
178,AB9,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,10.988893413316655,11.734514207100846
179,AB10,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,9.344242312888051,11.859463962277488
180,AB1,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,6.245096742731018,5.195134844045576
181,AB2,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,9.05289017204572,7.1205852993030705
182,AB3,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,7.915550227806751,8.617583380659543
183,AB4,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,6.994222182410341,6.668086356196574
184,AB5,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,6.992970097956042,7.025558839037917
185,AB6,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,6.121769084635643,5.243618548651177
186,AB7,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,5.877285913192951,5.600462287890222
187,AB8,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,6.080864532922256,7.044648248225691
188,AB9,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,9.830559713842193,10.762776558368605
189,AB10,120,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,7.772301067999431,10.480833640472127
190,AB1,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,16.9705839181609,16.765742055413693
191,AB2,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,18.150661254250675,17.291891615398992
192,AB3,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,17.10428841055885,19.810283237454644
193,AB4,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,17.36473671065537,17.097037513956735
194,AB5,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,17.022456879611326,16.9676561428502
195,AB6,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,16.998092615967252,16.86305927473462
196,AB7,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,16.988978759012028,16.845579326067824
197,AB8,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,16.83921620653346,17.280769650096023
198,AB9,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,18.40747477758443,18.465747726012353
199,AB10,100,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,17.58178900511109,18.119027533352803
200,AB1,80,30,2,tanh,1,sigmoid,"(1, 30)",mean_absolute_error,0.01,sgd,200,128,21.17685665312345,21.220416367262175
201,AB2,80,30,2,tanh,1,sigmoid,"(1, 30)",mean_absolute_error,0.01,sgd,200,128,22.33331429363368,21.238024428448966
